ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,z,plate,fiberID,mjd
213.63822,25.236303,18.44825,17.54052,17.27605,17.10206,17.09452,0.04044697,2128,412,53800
217.70314,23.066533,17.5209,16.55484,16.16492,15.92781,15.83055,0.04071595,2132,8,53493
221.33405,22.181427,18.01389,17.44497,17.52283,17.3624,17.3438,0.04068207,2140,54,53858
220.57375,23.190607,19.40794,18.04258,17.48204,17.20186,16.96439,0.04033342,2140,487,53858
221.87697,22.066174,18.66867,17.78169,17.56384,17.4178,17.2851,0.04024572,2144,223,53770
223.05162,22.677201,18.24475,17.28223,16.86039,16.5964,16.41919,0.04025571,2144,543,53770
223.60386,21.61594,17.23849,16.23913,15.92642,15.70723,15.53358,0.04032528,2148,182,54526
223.525,21.684282,18.37095,17.15746,16.68207,16.43728,16.23493,0.04012064,2148,233,54526
223.39381,22.452206,18.90424,17.87565,17.50033,17.26844,17.1723,0.04034916,2148,345,54526
227.09954,20.515477,17.11819,15.19649,14.32765,13.90704,13.58886,0.04043688,2153,95,54212
227.26122,20.440625,19.96747,18.24909,17.46261,17.09785,16.78863,0.04010376,2153,100,54212
226.9919,20.660301,18.58161,17.2588,16.62115,16.27042,15.98278,0.04080427,2153,138,54212
226.6521,21.109283,19.14384,17.59403,16.98584,16.65584,16.41026,0.04043909,2153,166,54212
226.22976,21.297055,17.58488,16.53259,16.08688,15.85139,15.68978,0.0401094,2153,227,54212
226.02049,21.413281,18.45063,17.34898,16.96315,16.70238,16.57639,0.04065378,2153,386,54212
230.25208,20.39628,19.81351,18.13014,17.33408,16.94115,16.62193,0.0402526,2156,23,54525
230.06568,20.534806,19.77307,18.21845,17.50549,17.12457,16.80853,0.04083284,2156,78,54525
228.1277,20.666072,19.05713,17.24359,16.42048,16.02235,15.66978,0.04048414,2156,232,54525
228.88198,20.828429,18.29737,16.44225,15.61336,15.22292,14.89464,0.04038575,2156,497,54525
229.02986,20.842024,17.4409,16.32386,15.86067,15.57468,15.36174,0.0402544,2156,514,54525
229.84176,20.996325,18.81519,17.07728,16.28721,15.92219,15.66148,0.04025983,2156,586,54525
231.09687,19.837289,19.82114,18.18574,17.45473,17.10789,16.80567,0.04083927,2159,142,54328
